考号,班级,总成绩,年级名次,班级名次,政治,语文,数学,物理,化学,外语,历史,地理
10170325,3,360.5,178,30,48,70,44,17,28,69.5,29,55
10170326,3,294.5,283,41,44,68,29,12,25,42.5,38,36
10170327,3,348.5,201,32,46,74,44,5,31,64.5,49,35
10170328,3,462,42,6,75,87,36,30,43,61,61,69
10170329,3,403,122,18,50,86,44,39,32,58,42,52
10170330,3,304.5,273,40,31,75,34,23,16,46.5,36,43
10170331,3,268.5,305,46,28,59,39,23,27,20.5,30,42
10170332,3,289.5,287,42,36,78,50,17,29,22.5,16,41
10170333,3,518.5,9,1,65,94,64,45,39,82.5,65,64
10170334,3,391.5,140,23,43,84,35,27,44,50.5,40,68
10170335,3,367,170,27,65,84,30,21,32,48,33,54
10170336,3,364.5,175,29,56,61,16,29,57,29.5,53,63
10170401,4,411,110,19,62,85,45,26,66,29,46,52
10170402,4,357.5,187,28,47,81,55,30,23,37.5,30,54
10170403,4,452,51,12,54,81,66,49,55,32,51,64
10170404,4,312,262,36,47,60,33,31,35,31,35,40
10170405,4,318.5,252,35,61,76,39,26,26,22.5,25,43
10170407,4,473,30,6,51,79,65,39,64,72,53,50
10170408,4,400,128,20,54,82,53,25,28,59,49,50
10170409,4,416.5,102,18,42,80,57,31,41,67.5,57,41
10170410,4,382.5,148,23,47,75,48,30,60,23.5,55,44
10170411,4,463,40,9,54,99,57,30,74,58,36,55
10170412,4,537,5,3,62,97,102,43,79,47,42,65
10170413,4,348.5,201,29,56,74,15,24,18,52.5,51,58
10170414,4,537.5,4,2,68,104,57,45,68,59.5,67,69
10170415,4,418.5,96,16,61,86,32,27,39,61.5,66,46
10170416,4,379.5,152,24,39,91,47,34,30,24.5,60,54
10170417,4,311.5,264,37,54,87,10,18,22,22.5,47,51
10170418,4,595,2,1,72,81,75,61,80,71,72,83
10170419,4,438,66,15,61,87,47,32,45,58,54,54
10170420,4,334,230,32,32,79,25,19,50,25,38,66
10170421,4,319,249,34,52,63,48,9,17,28,42,60
10170422,4,263.5,309,41,24,72,29,20,23,21.5,29,45
10170423,4,446.5,57,13,52,96,50,35,69,33.5,45,66
10170424,4,418,98,17,67,103,62,13,22,50,51,50
10170425,4,375,159,25,36,73,30,35,50,38,52,61
10170426,4,466,37,8,54,81,83,44,62,36,47,59
10170427,4,467.5,34,7,57,94,52,36,44,75.5,55,54
10170428,4,367,170,27,32,80,40,35,29,49,34,68
10170429,4,396.5,134,21,54,91,39,24,23,36.5,66,63
10170430,4,373,163,26,52,85,32,16,33,42,56,57
10170431,4,508.5,14,5,53,91,78,54,52,54.5,63,63
10170432,4,309.5,266,38,43,75,36,18,22,39.5,31,45
10170433,4,387.5,143,22,53,84,30,25,54,55.5,32,54
10170434,4,309.5,266,38,37,73,31,23,24,22.5,48,51
10170435,4,340,223,31,57,74,31,12,50,48,30,38
10170501,5,418,98,12,64,80,34,23,66,46,56,49
10170502,5,239,317,47,39,47,42,27,23,13,16,32
10170503,5,413,104,14,51,87,62,31,39,40,53,50
10170504,5,371.5,165,24,31,80,52,25,32,58.5,53,40
10170505,5,356.5,190,28,66,87,31,30,22,28.5,43,49
10170506,5,278,298,44,31,57,35,19,32,23,34,47
10170507,5,359.5,182,26,56,81,30,19,33,34.5,41,65
10170508,5,408.5,113,16,58,80,56,30,43,48.5,37,56
10170509,5,447,56,5,42,84,70,38,51,56,49,57
10170510,5,347.5,204,30,55,71,44,16,17,21.5,48,75
10170511,5,337,225,34,48,83,10,17,36,45,54,44
10170512,5,532,6,1,52,108,68,57,73,24,71,79
10170513,5,292,286,42,36,88,5,29,29,19,39,47
10170514,5,471,31,3,45,89,66,39,57,67,68,40
10170515,5,464.5,38,4,58,87,66,38,56,59.5,43,57
10170516,5,317,256,36,54,68,25,10,32,34,33,61
10170517,5,359.5,182,26,45,89,54,17,35,45.5,32,42
10170518,5,429,78,9,54,102,34,24,26,89,29,71
10170519,5,356,191,29,61,83,30,4,66,48,26,38
10170520,5,424.5,85,10,56,93,60,22,46,30.5,54,63
10170521,5,379.5,152,23,61,79,25,22,28,26.5,61,77
10170522,5,302.5,274,39,46,75,22,9,24,39.5,53,34
10170523,5,446.5,57,6,43,95,30,34,63,55.5,62,64
10170601,6,398.5,130,10,50,77,35,31,37,60.5,57,51
10170602,6,330.5,236,28,48,63,23,23,48,48.5,34,43
10170701,7,415.5,103,15,58,70,58,30,51,18.5,75,55
10170702,7,336.5,226,31,41,76,48,20,31,42.5,45,33
10170703,7,319.5,248,36,37,86,37,24,20,25.5,46,44
10170704,7,319,249,37,30,68,44,15,30,20,46,66
10170705,7,327,237,34,44,73,30,20,20,57,40,43
10170706,7,409,111,16,57,88,43,26,46,53,50,46
10170707,7,468.5,32,5,49,90,80,26,65,60.5,51,47
10170708,7,405.5,120,18,46,83,42,32,67,55.5,48,32
10170709,7,273,303,44,41,59,25,15,21,17,49,46
10170710,7,296.5,282,41,23,80,39,21,41,19.5,33,40
10170711,7,360.5,178,23,34,86,40,20,26,56.5,43,55
10170712,7,357.5,187,27,37,89,20,18,32,60.5,52,49
10170713,7,422.5,88,13,56,77,51,16,44,58.5,54,66
10170714,7,358,185,26,46,78,41,33,35,21,59,45
10170715,7,383.5,146,21,47,90,34,24,45,33.5,55,55
10170716,7,422.5,88,13,54,92,57,24,59,47.5,39,50
10170717,7,244.5,315,46,21,50,15,17,24,14.5,51,52
10170718,7,377.5,155,22,44,88,29,28,29,39.5,61,59
10170719,7,440,65,8,52,93,43,38,34,50,58,72
10170720,7,240,316,47,15,67,15,12,21,25,41,44
10170721,7,301.5,277,39,51,77,22,5,33,24.5,45,44
10170722,7,299.5,279,40,49,57,26,17,29,31.5,54,36
10170723,7,460,44,7,65,96,37,37,54,44,60,67
10170724,7,331,234,33,34,69,27,19,41,47,35,59
10170725,7,360,180,24,48,87,30,16,59,21,48,51
10170726,7,477,28,4,60,98,52,23,57,75,52,60
10170727,7,360,180,24,55,73,25,11,43,34,66,53
10170728,7,292.5,285,42,29,87,20,15,21,33.5,48,39
10170729,7,396.5,134,19,51,81,42,19,19,55.5,66,63
10170731,7,436.5,69,9,58,92,51,18,51,55.5,47,64
10170732,7,510,13,2,64,78,69,36,72,64,56,71
10170733,7,516.5,10,1,50,98,70,38,59,65.5,65,71
10170734,7,433,74,10,45,94,58,35,45,23,64,69
10170735,7,351,195,28,38,88,30,23,25,62,45,40
10170736,7,350,197,29,35,95,32,12,32,51,43,50
10170737,7,345,208,30,34,84,40,24,30,39,46,48
10170738,7,427,79,11,47,89,64,16,51,57,45,58
10170739,7,390.5,141,20,54,89,20,24,52,30.5,52,69
10170740,7,427,79,11,44,81,35,24,63,43,63,74
10170741,7,289,288,43,24,61,20,26,41,39,35,43
10270101,1,381,151,25,61,87,29,28,37,46,33,60
10270102,1,284.5,292,44,23,61,35,28,18,33.5,35,51
10270201,2,357.5,187,30,60,88,43,25,35,23.5,42,41
10270202,2,482,24,4,56,102,48,39,54,63,55,65
10270203,2,305,272,44,59,79,30,15,27,26,32,37
10270204,2,401.5,124,19,49,92,40,25,32,66.5,44,53
10270205,2,422.5,88,15,67,88,34,23,47,35.5,51,77
10270206,2,349,199,32,58,98,27,24,38,16,49,39
10270207,2,423,87,14,71,89,65,42,48,28,44,36
10270208,2,412,107,16,65,82,35,33,33,52,51,61
10270301,3,461,43,7,60,89,53,24,45,84,52,54
10270302,3,372.5,164,25,54,77,45,30,26,28.5,44,68
10270401,4,440.5,64,14,55,89,51,26,27,85.5,52,55
10270501,5,300,278,40,40,88,34,8,15,25,40,50
